abv,ibu,id,name,style,brewery_id,ounces,brewery_idbrewery_,namebrewery_,city,state
0.056,55,789,Caldera Pale Ale (2005),American Pale Ale (APA),155,12,155,Caldera Brewing Company,Ashland, OR
0.056,55,788,Caldera Pale Ale (2007),American Pale Ale (APA),155,12,155,Caldera Brewing Company,Ashland, OR
0.056,55,38,Caldera Pale Ale (2011),American Pale Ale (APA),155,12,155,Caldera Brewing Company,Ashland, OR
0.054,24,37,Ashland Amber Ale,American Amber / Red Ale,155,12,155,Caldera Brewing Company,Ashland, OR
0.061,94,36,Caldera IPA,American IPA,155,12,155,Caldera Brewing Company,Ashland, OR
0.099,43,2068,Imperial Pumpkin Stout,Pumpkin Ale,230,16,230,Cape Ann Brewing Company,Gloucester, MA
0.09,130,2067,Dead-Eye DIPA,American Double / Imperial IPA,230,16,230,Cape Ann Brewing Company,Gloucester, MA
0.055,64,2066,Fisherman's IPA,American IPA,230,12,230,Cape Ann Brewing Company,Gloucester, MA
0.054,35,2065,Fisherman's Pils,German Pilsener,230,12,230,Cape Ann Brewing Company,Gloucester, MA
0.055,30,2064,Fisherman's Brew,American Amber / Red Ale,230,12,230,Cape Ann Brewing Company,Gloucester, MA
0.055,35,1928,Cape Cod Red,American Amber / Red Ale,267,16,267,Cape Cod Beer,Hyannis, MA
0.049,10,1927,Beach Blonde,American Blonde Ale,267,16,267,Cape Cod Beer,Hyannis, MA
0.065,80,2227,Dark Voyage Black IPA (2013),American Black Ale,192,12,192,Capital Brewery,Middleton, WI
0.052,28,2226,Wisconsin Amber,Vienna Lager,192,12,192,Capital Brewery,Middleton, WI
0.046,18,2225,Lake House,Munich Helles Lager,192,12,192,Capital Brewery,Middleton, WI
0.056,55,1954,Ghost Ship White IPA,American IPA,192,12,192,Capital Brewery,Middleton, WI
0.046,18,1910,Lake House,Munich Helles Lager,192,16,192,Capital Brewery,Middleton, WI
0.062,70,1177,Mutiny IPA,American IPA,192,12,192,Capital Brewery,Middleton, WI
0.059,22,2255,Santa's Secret,Winter Warmer,179,16,179,Carolina Brewery,Pittsboro, NC
0.099,100,2094,Epitome,American Black Ale,222,16,222,Carton Brewing Company,Atlantic Highlands, NJ
0.039,9,1941,Monkey Chased the Weasel,Berliner Weissbier,222,16,222,Carton Brewing Company,Atlantic Highlands, NJ
0.078,80,1940,077XX,American Double / Imperial IPA,222,16,222,Carton Brewing Company,Atlantic Highlands, NJ
0.042,35,1439,Boat Beer,American IPA,222,12,222,Carton Brewing Company,Atlantic Highlands, NJ
0.048,16,1882,Whitecap Wit,Witbier,285,16,285,Catawba Island Brewing,Port Clinton, OH
0.078,16,1881,Seiche Scottish Ale,Scottish Ale,285,16,285,Catawba Island Brewing,Port Clinton, OH
0.085,90,2600,Gone A-Rye,American Double / Imperial IPA,29,16,29,Cedar Creek Brewery,Seven Points, TX
0.068,70,2052,Dankosaurus,American IPA,29,16,29,Cedar Creek Brewery,Seven Points, TX
0.051,35,1584,Scruffy's Smoked Alt,Smoked Beer,29,16,29,Cedar Creek Brewery,Seven Points, TX
